PLGDN;06.03.2005;21:00:00;LTKLJ;KAUNAS;Lithuania;8311924;LYAG;25606;190.00;DFDS SEAWAYS Sp. z o. o.;WESTERPLATTE
PLGDN;07.03.2005;13:10:00;FIHEL;PETSAMO;Finland;7517545;OIZH;2356;84.28;Cargo Service Co. Ltd Gdañsk;NAB. SZCZECIÑSKIE - GTK
PLGDN;09.03.2005;22:00:00;DESTL;JOLANDA;Antigua and Barbuda;5298107;V2PH5;499;57.75;Polfracht Shipping Agency Ltd. ;PRZEMYS£OWE
PLGDN;13.03.2005;21:00:00;LTKLJ;KAUNAS;Lithuania;8311924;LYAG;25606;190.00;DFDS SEAWAYS Sp. z o. o.;WESTERPLATTE
PLGDN;16.03.2005;01:50:00;FIHEL;PETSAMO;Finland;7517545;OIZH;2356;84.28;Cargo Service Co. Ltd Gdañsk;NAB. SZCZECIÑSKIE - GTK
PLGDN;16.03.2005;22:30:00;NOBGO;IRAN SAVEH;Iran Islamic Republic of;9171462;EQWR;81479;274.00;Polfracht Shipping Agency Ltd. ;"BPPP - "" P """
PLGDN;20.03.2005;00:30:00;LTKLJ;KAUNAS;Lithuania;8311924;LYAG;25606;190.90;DFDS SEAWAYS Sp. z o. o.;WESTERPLATTE
PLGDN;21.03.2005;21:15:00;FIHEL;PETSAMO;Finland;7517545;OIZH;2356;84.28;Cargo Service Co. Ltd Gdañsk;NAB. SZCZECIÑSKIE - GTK
PLGDN;23.03.2005;08:00:00;SEAHU;TONJA;Honduras;5364669;HQRA7;499;53.68;Polfracht Shipping Agency Ltd. ;PRZEMYS£OWE
PLGDN;23.03.2005;22:00:00;NLAMS;SIBOTI;Norway;9009396;LAQL4;41189;228.60;Polfracht Shipping Agency Ltd. ;PIRS WÊGLOWY PP
PLGDN;25.03.2005;22:00:00;SEGOT;CHRISTINA;Norway;9118496;LIJG3;6045;123.60;Polfracht Shipping Agency Ltd. ;"BPPP - JETTY "" P """
PLGDN;29.03.2005;13:20:00;RULED;PETSAMO;Finland;7517545;OIZH;2356;84.28;Cargo Service Co. Ltd Gdañsk;NAB. SZCZECIÑSKIE - GTK
PLGDN;03.04.2005;21:15:00;FIHEL;PETSAMO;Finland;7517545;OIZH;2356;84.28;Cargo Service Co. Ltd Gdañsk;NAB. SZCZECIÑSKIE - GTK
PLGDN;03.04.2005;19:30:00;LTKLJ;KAUNAS;Lithuania;8311924;LYAG;25606;190.90;DFDS SEAWAYS Sp. z o. o.;WESTERPLATTE
PLGDN;06.04.2005;23:00:00;PLWLA;ICARUS III;Cyprus;9145413;P3WM9;21605;182.14;Polfracht Shipping Agency Ltd. ;"BPPP JETTY "" P """
