Kod portu;Data przybycia;Godzina przybycia;Kod portu, z którego jednostka przyp³ynê³a;Nazwa statku;Bandera;nr IMO;Sygna³ wywo³awczy;Pojemnoœæ brutto;D³ugoœæ;Agent;Nabrze¿e (miejsce zacumowania)
PLPLC;2011-01-09;20:30:00;SYTTS;REDWOOD;Saint Vincent and the Grenadines;7403689;J8B3695;12582;159.16;INTERAGENT Sp. z o.o.;POLICE PORT MORSKI
PLPLC;2011-01-11;21:00:00;PLSWI;M/T PALICA;Poland;7704057;SQIS;999;60.00;Ship-Service S.A.;nab. Police Port Morski
PLPLC;2011-01-12;20:00:00;TNSFA;IRYDA;Cyprus;9180384;P3PA8;21387;199.90;POLSTEAM SHIPPING AGENCY Ltd.;Police M
PLPLC;2011-01-12;05:30:00;PLSZZ;ROMANKA;Poland;8026440;SQLT;997;64.00;Ship-Service S.A.;nab.POLICE PORT MORSKI
PLPLC;2011-01-12;18:45:00;LTKLJ;GALAN;Saint Kitts and Nevis;8844957;V4QK;2473;114.00;Trans Baltic Spó³ka Cywilna;Port Barkowy
PLPLC;2011-01-13;21:15:00;TRISK;SAN FELICE;Bahamas;9416434;C6WX6;23985;180.00;KEYTRADE;PORT MORSKI POLICE
PLPLC;2011-01-14;16:30:00;LTKLJ;OMSKIY 135;Russian Federation;8881723;UIWY;2528;108.40;Wilhelmsen Ships Service Polska Sp. z o.o. ;Police Port Barkowy
PLPLC;2011-01-16;20:00:00;LVVNT;VOLGOBALT 238;Russian Federation;8230522;UIDA;2457;114.00;Wilhelmsen Ships Service Polska Sp. z o.o. ;Police Port Barkowy
PLPLC;2011-01-16;10:40:00;SYTTS;PILICA;Malta;9154282;9HKS6;11848;149.40;POLSTEAM SHIPPING AGENCY Ltd.;Police port morski
PLPLC;2011-01-18;12:20:00;PLSZZ;AMUR 2525;Russian Federation;8721519;UCWB;3086;115.80;Trans Baltic Spó³ka Cywilna;Fosfatowe
PLPLC;2011-01-19;19:00:00;NLRTM;ALTHEA;Malta;9224855;9HAQ7;17697;169.62;Unibaltic Sp. z o.o.;POLICE PORT MORSKI
PLPLC;2011-01-19;18:40:00;LTKLJ;SORMOVSKIY 53;Russian Federation;8628133;UAKX;2478;114.02;Trans Baltic Spó³ka Cywilna;Port Barkowy Police
PLPLC;2011-01-21;19:00:00;LVVNT;OMSKIY 141;Russian Federation;8873764;UGZK;2460;108.40;Wilhelmsen Ships Service Polska Sp. z o.o. ;Police Port Barkowy
PLPLC;2011-01-23;16:50:00;LTKLJ;OMSKIY 135;Russian Federation;8881723;UIWY;2528;108.40;Wilhelmsen Ships Service Polska Sp. z o.o. ;Police Port Barkowy
PLPLC;2011-01-24;21:00:00;LVVNT;OMSKIY 140;Russian Federation;8867052;UANX;2470;108.40;Trans Baltic Spó³ka Cywilna;Port Barkowy
PLPLC;2011-01-24;16:50:00;NO888;AASHEIM;Gibraltar;9247106;ZDKD8;4112;107.05;NEPTUNE AGENCY Sp. z o.o. ;PORT MORSKI
PLPLC;2011-01-25;16:40:00;BEKWA;NINA 1;Saint Vincent and the Grenadines;8402668;J8B3047;998;77.96;NEPTUNE AGENCY Sp. z o.o. ;PORT BARKOWY
